ano,municipio,valor_r,area_ha
2020,Bannach - PA,469.0,90.0
2020,Banzaê - BA,1835.0,2540.0
2020,Baraúna - PB,921.0,740.0
2020,Baraúna - RN,117875.0,11140.0
2020,Barbacena - MG,30165.0,2105.0
2020,Barbalha - CE,10279.0,1564.0
2020,Barbosa - SP,56923.0,11860.0
2020,Barbosa Ferraz - PR,150011.0,27055.0
2020,Barcarena - PA,31133.0,1942.0
2020,Barcelona - RN,623.0,605.0
2020,Barcelos - AM,823.0,54.0
2020,Bariri - SP,100258.0,24698.0
2020,Barra - BA,2900.0,1289.0
2020,Barra Bonita - SC,5892.0,1200.0
2020,Barra Bonita - SP,31622.0,8472.0
2020,Barra D'Alcântara - PI,852.0,690.0
2020,Barra Funda - RS,19070.0,4769.0
2020,Barra Longa - MG,2256.0,505.0
2020,Barra Mansa - RJ,151.0,38.0
2020,Barra Velha - SC,3078.0,522.0
2020,Barra da Estiva - BA,4162.0,950.0
2020,Barra de Guabiraba - PE,9355.0,705.0
2020,Barra de Santa Rosa - PB,2749.0,3150.0
2020,Barra de Santana - PB,320.0,257.0
2020,Barra de Santo Antônio - AL,10838.0,2984.0
2020,Barra de São Francisco - ES,1535.0,282.0
2020,Barra de São Miguel - AL,13915.0,2460.0
2020,Barra de São Miguel - PB,3222.0,631.0
2020,Barra do Bugres - MT,275843.0,51290.0
2020,Barra do Chapéu - SP,60876.0,916.0
2020,Barra do Choça - BA,22023.0,2615.0
2020,Barra do Corda - MA,5524.0,4675.0
2020,Barra do Garças - MT,196926.0,35309.0
2020,Barra do Guarita - RS,12098.0,2878.0
2020,Barra do Jacaré - PR,72959.0,13370.0
2020,Barra do Mendes - BA,3244.0,1197.0
2020,Barra do Ouro - TO,17916.0,5701.0
2020,Barra do Piraí - RJ,555.0,62.0
2020,Barra do Quaraí - RS,164274.0,24793.0
2020,Barra do Ribeiro - RS,126055.0,19178.0
2020,Barra do Rio Azul - RS,15475.0,2656.0
2020,Barra do Rocha - BA,140.0,51.0
2020,Barra do Turvo - SP,637.0,352.0
2020,Barra dos Coqueiros - SE,35.0,10.0
2020,Barracão - PR,29031.0,5052.0
2020,Barracão - RS,101941.0,30509.0
2020,Barras - PI,10906.0,5057.0
2020,Barreira - CE,2818.0,1837.0
2020,Barreiras - BA,1875662.0,254388.0
2020,Barreiras do Piauí - PI,101044.0,21604.0
2020,Barreirinha - AM,2433.0,183.0
2020,Barreirinhas - MA,5318.0,2080.0
2020,Barreiros - PE,14185.0,2380.0
2020,Barretos - SP,514978.0,78701.0
2020,Barrinha - SP,71288.0,11033.0
2020,Barro - CE,9945.0,4240.0
2020,Barro Alto - BA,29039.0,5097.0
2020,Barro Alto - GO,43995.0,10125.0
2020,Barro Duro - PI,3690.0,1051.0
2020,Barro Preto - BA,83.0,15.0
2020,Barrocas - BA,3416.0,3580.0
2020,Barrolândia - TO,9047.0,185.0
2020,Barroquinha - CE,1357.0,1453.0
2020,Barros Cassal - RS,85841.0,14623.0
2020,Barroso - MG,637.0,131.0
2020,Barão - RS,5946.0,960.0
2020,Barão de Antonina - SP,32669.0,5191.0
2020,Barão de Cocais - MG,578.0,131.0
2020,Barão de Cotegipe - RS,56192.0,12226.0
2020,Barão de Grajaú - MA,1485.0,916.0
2020,Barão de Melgaço - MT,850.0,82.0
2020,Barão do Monte Alto - MG,280.0,53.0
2020,Barão do Triunfo - RS,49502.0,5533.0
2020,Bastos - SP,12133.0,2010.0
2020,Bataguassu - MS,51266.0,12809.0
2020,Batalha - AL,62.0,4.0
2020,Batalha - PI,3815.0,3652.0
2020,Batatais - SP,362188.0,51045.0
2020,Batayporã - MS,243425.0,52550.0
2020,Baturité - CE,10034.0,5710.0
2020,Bauru - SP,16682.0,2509.0
2020,Bayeux - PB,89.0,5.0
2020,Baía Formosa - RN,148891.0,19180.0
2020,Baía da Traição - PB,8055.0,1407.0
2020,Bebedouro - SP,198132.0,42287.0
2020,Beberibe - CE,5060.0,2778.0
2020,Bela Cruz - CE,13490.0,8329.0
2020,Bela Vista - MS,269777.0,66675.0
2020,Bela Vista da Caroba - PR,42364.0,10008.0
2020,Bela Vista de Goiás - GO,138508.0,28941.0
2020,Bela Vista de Minas - MG,104.0,27.0
2020,Bela Vista do Maranhão - MA,242.0,209.0
2020,Bela Vista do Paraíso - PR,166780.0,33473.0
2020,Bela Vista do Piauí - PI,1995.0,2260.0
2020,Bela Vista do Toldo - SC,111224.0,11690.0
2020,Belmiro Braga - MG,366.0,74.0
